Target Distance: 50, Step Size: 2
50: (x,y) = (71.578, -28.6169)
51: (x,y) = (78.0059, -20.9564)
52: (x,y) = (68.0196, -21.4798)
53: (x,y) = (77.4165, -24.9)
54: (x,y) = (76.0248, -14.9973)
55: (x,y) = (84.6851, -9.99732)
56: (x,y) = (90.7032, -2.01096)
57: (x,y) = (100.266, 0.912755)
After 57 steps, the subject has the following location:
(x,y) = (100.266, 0.912755)
 or
(m,a) = (100.27, 0.521567)
Average outward distance per step = 1.75913

Target Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (0.483844, -1.94059)
2: (x,y) = (-0.905473, -0.501912)
3: (x,y) = (-2.21759, 1.00751)
4: (x,y) = (-1.63285, -0.905102)
5: (x,y) = (0.00545649, 0.242051)
6: (x,y) = (-0.808017, -1.58504)
7: (x,y) = (0.55598, -3.04775)
8: (x,y) = (-1.25664, -3.89298)
9: (x,y) = (-0.0530056, -2.29571)
10: (x,y) = (-0.898242, -4.10833)
11: (x,y) = (0.928849, -4.9218)
12: (x,y) = (-0.820391, -3.95218)
13: (x,y) = (-0.542044, -1.97165)
14: (x,y) = (1.19001, -0.971647)
15: (x,y) = (-0.701031, -1.62278)
16: (x,y) = (1.27435, -1.30991)
17: (x,y) = (-0.674394, -1.75982)
18: (x,y) = (0.857695, -0.474241)
19: (x,y) = (2.45497, -1.67787)
20: (x,y) = (1.6735, 0.163139)
21: (x,y) = (3.66589, 0.33745)
22: (x,y) = (4.31703, 2.22849)
23: (x,y) = (5.1305, 4.05558)
24: (x,y) = (4.71468, 2.09928)
25: (x,y) = (3.6846, 3.81362)
26: (x,y) = (3.00056, 1.93423)
27: (x,y) = (2.31652, 3.81362)
28: (x,y) = (2.28162, 5.81331)
29: (x,y) = (0.515722, 6.75226)
30: (x,y) = (-1.39689, 7.337)
31: (x,y) = (-2.01492, 9.23911)
32: (x,y) = (-0.783598, 7.66309)
33: (x,y) = (-2.74685, 8.04471)
34: (x,y) = (-3.46359, 9.91187)
35: (x,y) = (-4.61074, 8.27357)
36: (x,y) = (-6.43783, 7.46009)
37: (x,y) = (-7.72341, 5.928)
38: (x,y) = (-6.72341, 7.66005)
39: (x,y) = (-6.30758, 5.70376)
40: (x,y) = (-5.85768, 3.75502)
41: (x,y) = (-7.85494, 3.85969)
42: (x,y) = (-8.27076, 1.9034)
43: (x,y) = (-7.71949, 3.82592)
44: (x,y) = (-8.10111, 1.86266)
45: (x,y) = (-9.99214, 2.5138)
46: (x,y) = (-9.85263, 0.518673)
47: (x,y) = (-9.88754, -1.48102)
48: (x,y) = (-7.89849, -1.69008)
49: (x,y) = (-9.88754, -1.89914)
50: (x,y) = (-10.3714, 0.0414554)
51: (x,y) = (-8.50422, -0.675281)
52: (x,y) = (-10.4675, -1.0569)
53: (x,y) = (-12.4599, -0.882587)
54: (x,y) = (-11.0705, 0.556093)
55: (x,y) = (-9.51625, -0.702548)
56: (x,y) = (-11.4725, -0.286725)
57: (x,y) = (-13.4288, 0.129099)
58: (x,y) = (-12.7777, 2.02014)
59: (x,y) = (-13.1593, 0.0568813)
60: (x,y) = (-15.1156, -0.358942)
61: (x,y) = (-15.6669, 1.56358)
62: (x,y) = (-16.6669, -0.168469)
63: (x,y) = (-18.199, 1.11711)
64: (x,y) = (-17.9899, -0.871938)
65: (x,y) = (-16.0146, -1.18481)
66: (x,y) = (-14.0827, -0.667169)
67: (x,y) = (-12.1022, -0.945515)
68: (x,y) = (-12.2068, 1.05174)
69: (x,y) = (-11.723, 2.99234)
70: (x,y) = (-11.5835, 0.997207)
71: (x,y) = (-9.67087, 1.58195)
72: (x,y) = (-10.2556, -0.330659)
73: (x,y) = (-8.8414, 1.08355)
74: (x,y) = (-7.24413, -0.120075)
75: (x,y) = (-5.43151, 0.725161)
76: (x,y) = (-7.2291, -0.151581)
77: (x,y) = (-7.88024, 1.73946)
78: (x,y) = (-9.82083, 2.2233)
79: (x,y) = (-9.2028, 4.12541)
80: (x,y) = (-8.32605, 2.32782)
81: (x,y) = (-8.32605, 0.327825)
82: (x,y) = (-7.06741, 1.88212)
83: (x,y) = (-8.27104, 3.47939)
84: (x,y) = (-8.13153, 5.47452)
85: (x,y) = (-6.41719, 4.44444)
86: (x,y) = (-6.38229, 6.44414)
87: (x,y) = (-7.55786, 8.06217)
88: (x,y) = (-5.58248, 8.37504)
89: (x,y) = (-3.88639, 9.43488)
90: (x,y) = (-2.0888, 10.3116)
91: (x,y) = (-3.95596, 9.59488)
92: (x,y) = (-5.46538, 10.907)
93: (x,y) = (-5.60489, 8.91187)
94: (x,y) = (-3.71386, 8.26074)
95: (x,y) = (-3.12911, 6.34813)
96: (x,y) = (-4.38775, 7.90242)
97: (x,y) = (-5.69987, 6.393)
98: (x,y) = (-5.387, 4.41762)
99: (x,y) = (-6.84971, 3.05363)
100: (x,y) = (-8.84697, 3.1583)
101: (x,y) = (-8.03349, 4.98539)
102: (x,y) = (-8.78271, 6.83976)
103: (x,y) = (-8.09867, 8.71914)
104: (x,y) = (-8.8154, 10.5863)
105: (x,y) = (-8.29777, 12.5182)
106: (x,y) = (-6.62042, 11.4289)
107: (x,y) = (-8.5958, 11.116)
108: (x,y) = (-10.5882, 10.9417)
109: (x,y) = (-11.9522, 12.4044)
110: (x,y) = (-12.2651, 10.429)
111: (x,y) = (-10.28, 10.1853)
112: (x,y) = (-8.84128, 11.5746)
113: (x,y) = (-10.8364, 11.4351)
114: (x,y) = (-11.8364, 13.1671)
115: (x,y) = (-9.83763, 13.2369)
116: (x,y) = (-11.6352, 14.1137)
117: (x,y) = (-11.3223, 16.0891)
118: (x,y) = (-12.5537, 17.6651)
119: (x,y) = (-10.9154, 18.8122)
120: (x,y) = (-8.97478, 18.3284)
121: (x,y) = (-10.7724, 19.2051)
122: (x,y) = (-11.8616, 17.5278)
123: (x,y) = (-13.0088, 19.1661)
124: (x,y) = (-12.2596, 17.3117)
125: (x,y) = (-12.2596, 19.3117)
126: (x,y) = (-11.0283, 20.8878)
127: (x,y) = (-10.2148, 19.0607)
128: (x,y) = (-8.70537, 17.7485)
129: (x,y) = (-10.5464, 16.9671)
130: (x,y) = (-8.79714, 17.9367)
131: (x,y) = (-10.2358, 19.326)
132: (x,y) = (-10.2707, 17.3263)
133: (x,y) = (-11.825, 18.585)
134: (x,y) = (-11.4434, 20.5482)
135: (x,y) = (-12.0614, 18.6461)
136: (x,y) = (-11.9916, 20.6449)
137: (x,y) = (-10.6023, 22.0836)
138: (x,y) = (-10.2894, 24.0589)
139: (x,y) = (-11.9277, 25.2061)
140: (x,y) = (-13.9277, 25.2061)
141: (x,y) = (-15.5858, 24.0877)
142: (x,y) = (-17.0721, 25.426)
143: (x,y) = (-17.2812, 27.415)
144: (x,y) = (-15.7269, 28.6737)
145: (x,y) = (-17.039, 30.1831)
146: (x,y) = (-17.3173, 32.1636)
147: (x,y) = (-16.4721, 33.9762)
148: (x,y) = (-18.1682, 32.9164)
149: (x,y) = (-19.5575, 31.4777)
150: (x,y) = (-19.9048, 33.4473)
151: (x,y) = (-21.8069, 32.8293)
152: (x,y) = (-22.3917, 30.9167)
153: (x,y) = (-20.5507, 30.1352)
154: (x,y) = (-22.4825, 29.6176)
155: (x,y) = (-21.3932, 31.2949)
156: (x,y) = (-20.644, 33.1493)
157: (x,y) = (-21.6136, 34.8985)
158: (x,y) = (-23.0764, 33.5345)
159: (x,y) = (-23.458, 31.5713)
160: (x,y) = (-21.8607, 30.3676)
161: (x,y) = (-22.4787, 28.4655)
162: (x,y) = (-20.8607, 29.6411)
163: (x,y) = (-21.3445, 31.5817)
164: (x,y) = (-21.5189, 29.5893)
165: (x,y) = (-19.5701, 29.1394)
166: (x,y) = (-17.5729, 29.0347)
167: (x,y) = (-18.9622, 27.5961)
168: (x,y) = (-17.2848, 28.6853)
169: (x,y) = (-16.869, 30.6416)
170: (x,y) = (-14.9058, 31.0232)
171: (x,y) = (-14.7314, 33.0156)
172: (x,y) = (-13.95, 31.1746)
173: (x,y) = (-12.0956, 31.9238)
174: (x,y) = (-10.892, 33.5211)
175: (x,y) = (-12.7191, 32.7076)
176: (x,y) = (-14.5011, 33.6156)
177: (x,y) = (-16.2503, 34.5852)
178: (x,y) = (-16.2852, 32.5855)
179: (x,y) = (-17.3745, 30.9082)
180: (x,y) = (-18.0585, 29.0288)
181: (x,y) = (-19.0282, 27.2796)
182: (x,y) = (-17.7968, 25.7035)
183: (x,y) = (-15.865, 26.2212)
184: (x,y) = (-17.4193, 24.9625)
185: (x,y) = (-19.0166, 26.1662)
186: (x,y) = (-17.8982, 24.5081)
187: (x,y) = (-19.7653, 25.2248)
188: (x,y) = (-21.1795, 26.6391)
189: (x,y) = (-23.1358, 27.0549)
190: (x,y) = (-22.4518, 25.1755)
191: (x,y) = (-22.7301, 27.156)
192: (x,y) = (-21.9809, 25.3017)
193: (x,y) = (-23.883, 24.6836)
194: (x,y) = (-25.7374, 23.9344)
195: (x,y) = (-27.6395, 23.3164)
196: (x,y) = (-29.6319, 23.1421)
197: (x,y) = (-31.523, 22.4909)
198: (x,y) = (-30.6462, 24.2885)
199: (x,y) = (-30.6811, 26.2882)
200: (x,y) = (-32.4132, 27.2882)
201: (x,y) = (-31.2095, 25.6909)
202: (x,y) = (-29.8713, 27.1772)
203: (x,y) = (-29.6275, 29.1623)
204: (x,y) = (-27.9132, 28.1322)
205: (x,y) = (-28.329, 30.0885)
206: (x,y) = (-30.1962, 30.8053)
207: (x,y) = (-28.2071, 30.5962)
208: (x,y) = (-28.7919, 28.6836)
209: (x,y) = (-28.0427, 30.538)
210: (x,y) = (-29.274, 28.962)
211: (x,y) = (-27.3421, 29.4796)
212: (x,y) = (-26.0835, 27.9253)
213: (x,y) = (-24.8522, 29.5013)
214: (x,y) = (-25.1305, 27.5208)
215: (x,y) = (-23.5984, 28.8064)
216: (x,y) = (-25.5303, 28.2887)
217: (x,y) = (-27.3123, 27.3807)
218: (x,y) = (-26.6612, 29.2718)
219: (x,y) = (-24.9291, 28.2718)
220: (x,y) = (-25.7106, 26.4308)
221: (x,y) = (-23.7118, 26.5006)
222: (x,y) = (-22.7118, 24.7685)
223: (x,y) = (-24.7115, 24.8034)
224: (x,y) = (-24.0935, 26.7055)
225: (x,y) = (-22.1616, 27.2232)
226: (x,y) = (-22.8783, 25.356)
227: (x,y) = (-23.2942, 23.3997)
228: (x,y) = (-24.9522, 22.2813)
229: (x,y) = (-26.9446, 22.107)
230: (x,y) = (-28.454, 20.7949)
231: (x,y) = (-29.5724, 19.1368)
232: (x,y) = (-30.9364, 20.5995)
233: (x,y) = (-30.9713, 18.5998)
234: (x,y) = (-32.9346, 18.2182)
235: (x,y) = (-31.137, 17.3415)
236: (x,y) = (-29.1737, 17.7231)
237: (x,y) = (-27.2041, 17.3758)
238: (x,y) = (-25.4898, 16.3457)
239: (x,y) = (-26.9525, 17.7097)
240: (x,y) = (-26.2685, 15.8303)
241: (x,y) = (-25.6837, 17.7429)
242: (x,y) = (-27.4496, 18.6819)
243: (x,y) = (-28.4496, 16.9498)
244: (x,y) = (-29.5968, 18.5881)
245: (x,y) = (-28.4496, 20.2264)
246: (x,y) = (-30.2155, 21.1654)
247: (x,y) = (-32.1718, 20.7496)
248: (x,y) = (-33.5611, 22.1882)
249: (x,y) = (-33.7702, 24.1773)
250: (x,y) = (-32.1319, 25.3244)
251: (x,y) = (-30.2647, 26.0412)
252: (x,y) = (-30.5431, 28.0217)
253: (x,y) = (-32.3251, 27.1137)
254: (x,y) = (-34.2045, 26.4297)
255: (x,y) = (-36.1741, 26.777)
256: (x,y) = (-37.6604, 25.4387)
257: (x,y) = (-37.6604, 27.4387)
258: (x,y) = (-36.6604, 25.7067)
259: (x,y) = (-35.4017, 24.1524)
260: (x,y) = (-35.2274, 22.16)
261: (x,y) = (-37.1184, 22.8111)
262: (x,y) = (-39.1108, 22.6368)
263: (x,y) = (-38.7635, 20.6672)
264: (x,y) = (-38.1124, 22.5582)
265: (x,y) = (-36.1998, 23.143)
266: (x,y) = (-37.4034, 24.7403)
267: (x,y) = (-36.0141, 23.3016)
268: (x,y) = (-34.029, 23.5453)
269: (x,y) = (-32.3329, 22.4855)
270: (x,y) = (-32.3678, 24.4852)
271: (x,y) = (-34.3374, 24.8325)
272: (x,y) = (-32.828, 26.1446)
273: (x,y) = (-33.7048, 27.9422)
274: (x,y) = (-32.4192, 29.4743)
275: (x,y) = (-30.8432, 30.7056)
276: (x,y) = (-32.8185, 31.0185)
277: (x,y) = (-32.2673, 32.941)
278: (x,y) = (-33.5528, 31.4089)
279: (x,y) = (-32.4057, 29.7706)
280: (x,y) = (-34.3753, 30.1179)
281: (x,y) = (-35.838, 31.4819)
282: (x,y) = (-34.1799, 30.3635)
283: (x,y) = (-35.712, 31.6491)
284: (x,y) = (-33.7802, 31.1314)
285: (x,y) = (-32.2042, 32.3628)
286: (x,y) = (-34.2014, 32.2581)
287: (x,y) = (-35.9834, 31.3501)
288: (x,y) = (-33.9834, 31.3501)
289: (x,y) = (-35.0727, 33.0274)
290: (x,y) = (-36.8998, 33.8409)
After 290 steps, the subject has the following location:
(x,y) = (-36.8998, 33.8409)
 or
(m,a) = (50.068, 137.476)
Average outward distance per step = 0.172648

